INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,CLOSE_prev,PRICE_CHANGE,PRICE_CHANGE_PCT,OPEN_INT,OPEN_INT_prev,CHG_IN_OI,OI_CHANGE_PCT,OI_PATTERN
FUTSTK,TATACONSUM,30-Jan-2025,,941.2,933.2,8.0,0.8572653236176597,13514928,13729248,-214320,-1.5610468978344627,Short Covering
FUTSTK,RAMCOCEM,30-Jan-2025,,988.95,989.55,-0.599999999999909,-0.06063362134302552,6025650,6148050,-122400,-1.9908751555371216,Long Unwinding
FUTSTK,IGL,30-Jan-2025,,434.8,420.0,14.800000000000011,3.5238095238095264,22209000,22181500,27500,0.12397718819737169,Long Build-up
FUTSTK,METROPOLIS,30-Jan-2025,,2000.85,2059.4,-58.55000000000018,-2.8430610857531406,1467600,1578000,-110400,-6.996197718631179,Long Unwinding
FUTSTK,GRANULES,30-Jan-2025,,607.8,612.75,-4.9500000000000455,-0.8078335373317088,14013000,13895000,118000,0.8492263404102194,Short Build-up
FUTSTK,OFSS,30-Jan-2025,,12373.9,12653.05,-279.14999999999964,-2.206187440972727,700050,685500,14550,2.12253829321663,Short Build-up
FUTSTK,ESCORTS,30-Jan-2025,,3380.1,3374.1,6.0,0.17782519783053258,1097700,1199100,-101400,-8.45634225669252,Short Covering
FUTSTK,POLICYBZR,30-Jan-2025,,2226.15,2218.05,8.099999999999909,0.36518563603164533,2745600,2787200,-41600,-1.4925373134328357,Short Covering
FUTSTK,KALYANKJIL,30-Jan-2025,,782.25,792.3,-10.049999999999955,-1.2684589170768592,9933175,8251425,1681750,20.381328073635764,Short Build-up
FUTSTK,CIPLA,30-Jan-2025,,1516.15,1544.05,-27.899999999999864,-1.806936303876161,12613575,12781275,-167700,-1.3120756732016172,Long Unwinding
FUTSTK,PAYTM,30-Jan-2025,,985.1,988.95,-3.8500000000000227,-0.3893017847211712,12147850,12732850,-585000,-4.5944152330389505,Long Unwinding
FUTSTK,PIDILITIND,30-Jan-2025,,2946.8,2945.0,1.800000000000182,0.06112054329372434,3197500,3006750,190750,6.344059200133034,Long Build-up
FUTSTK,VOLTAS,30-Jan-2025,,1829.25,1839.85,-10.599999999999909,-0.5761339239611876,7583400,7330500,252900,3.4499693063228976,Short Build-up
FUTSTK,CHAMBLFERT,30-Jan-2025,,502.65,509.85,-7.2000000000000455,-1.412180052956761,8341000,8333400,7600,0.09119927040583675,Short Build-up
FUTSTK,SJVN,30-Jan-2025,,109.38,109.04,0.3399999999999892,0.31181217901686464,14690025,15280650,-590625,-3.865182436611008,Short Covering
FUTSTK,BANKINDIA,30-Jan-2025,,104.73,104.39,0.3400000000000034,0.3257016955647125,25987450,24617150,1370300,5.566444531556253,Long Build-up
FUTSTK,POWERGRID,30-Jan-2025,,317.05,316.85,0.19999999999998863,0.06312135079690347,70403400,70932600,-529200,-0.7460603446088258,Short Covering
